"CurveID","Model","Parameter","Estimate"
"C031","Quadratic","(Intercept)",-0.833058801572462
"C031","Quadratic","poly(Time, 2, raw = TRUE)1",0.0347718222020202
"C031","Quadratic","poly(Time, 2, raw = TRUE)2",-7.58811803463872e-05
"C032","Cubic","(Intercept)",-0.350802692505846
"C032","Cubic","poly(Time, 3, raw = TRUE)1",0.00151223808022698
"C032","Cubic","poly(Time, 3, raw = TRUE)2",0.00032122485551308
"C032","Cubic","poly(Time, 3, raw = TRUE)3",-1.32068829560994e-06
"C032","Gompertz","N_0",0.0211851629123192
"C032","Gompertz","N_max",2.56313611564318
"C032","Gompertz","r_max",0.0952238460370852
"C032","Gompertz","t_lag",51.2233586781608
"C032","Quadratic","(Intercept)",-1.26684287561594
"C032","Quadratic","poly(Time, 2, raw = TRUE)1",0.0397492126579969
"C032","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000100647371827469
"C033","Cubic","(Intercept)",-0.213657341040952
"C033","Cubic","poly(Time, 3, raw = TRUE)1",0.00891702556611709
"C033","Cubic","poly(Time, 3, raw = TRUE)2",0.0001884678881468
"C033","Cubic","poly(Time, 3, raw = TRUE)3",-8.03855368615486e-07
"C033","Gompertz","N_0",0.00199628733526195
"C033","Gompertz","N_max",2.83252512499984
"C033","Gompertz","r_max",0.0659306896514033
"C033","Gompertz","t_lag",33.2275507736539
"C033","Quadratic","(Intercept)",-0.696067550532515
"C033","Quadratic","poly(Time, 2, raw = TRUE)1",0.0319765056299055
"C033","Quadratic","poly(Time, 2, raw = TRUE)2",-7.26172477102901e-05
"C034","Cubic","(Intercept)",-0.131598200819416
"C034","Cubic","poly(Time, 3, raw = TRUE)1",-5.70175923703447e-05
"C034","Cubic","poly(Time, 3, raw = TRUE)2",0.000848625929727167
"C034","Cubic","poly(Time, 3, raw = TRUE)3",-5.20731263688622e-06
"C034","Gompertz","N_0",0.163085007495921
"C034","Gompertz","N_max",3.12157835924706
"C034","Gompertz","r_max",0.122797788829888
"C034","Gompertz","t_lag",26.9764325751033
"C034","Quadratic","(Intercept)",-1.19999599358582
"C034","Quadratic","poly(Time, 2, raw = TRUE)1",0.0641827097669751
"C034","Quadratic","poly(Time, 2, raw = TRUE)2",-0.000223466424246244
"C035","Cubic","(Intercept)",0.285691726333738
"C035","Cubic","poly(Time, 3, raw = TRUE)1",-0.0307223099270263
"C035","Cubic","poly(Time, 3, raw = TRUE)2",0.00171158055631494
"C035","Cubic","poly(Time, 3, raw = TRUE)3",-1.10880222022716e-05
"C035","Gompertz","N_0",0.172600455220756
"C035","Gompertz","N_max",3.17246822766421
"C035","Gompertz","r_max",0.151201784325507
"C035","Gompertz","t_lag",25.6596673691536
"C035","Quadratic","(Intercept)",-0.636485969892861
"C035","Quadratic","poly(Time, 2, raw = TRUE)1",0.052731152559285
"C035","Quadratic","poly(Time, 2, raw = TRUE)2",-0.0001280424684864
"C036","Cubic","(Intercept)",-0.247577901316671
"C036","Cubic","poly(Time, 3, raw = TRUE)1",0.0118633558865077
"C036","Cubic","poly(Time, 3, raw = TRUE)2",0.000548970670360556
"C036","Cubic","poly(Time, 3, raw = TRUE)3",-3.88929990590796e-06
"C036","Gompertz","N_0",0.0830279525682455
"C036","Gompertz","N_max",2.53648566563619
"C036","Gompertz","r_max",0.108707590913753
"C036","Gompertz","t_lag",24.4008279438304
"C036","Quadratic","(Intercept)",-0.799142994727369
