CurveID,CurveLabel,Species,Temp,Medium,Rep,TimeUnits,PopBioUnits,NObservations,UniqueTimeValues,MinTime,MaxTime,MinPopBio,MaxPopBio,PopBioRange
C252,"Staphylococcus spp._20_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Staphylococcus spp.,20.000000,Raw Chicken Breast,1,Hours,CFU,9,9,6.989247,55.913978,3.167011,922.379495,919.212485
C255,"Staphylococcus spp._2_Raw Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Staphylococcus spp.,2.000000,Raw Chicken Breast,1,Hours,CFU,9,9,98.924731,566.666667,1.047348,823.182804,822.135455
C022,"Aerobic Mesophilic._2_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Mesophilic.,2.000000,Cooked Chicken Breast,1,Hours,CFU,9,9,47.804615,547.652936,1.295044,771.611604,770.316559
C070,"Arthrobacter sp. 62_20_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",Arthrobacter sp. 62,20.000000,TGE agar,1,Hours,CFU,9,9,1.626016,117.073171,2.745652,715.102674,712.357023
C057,"Arthrobacter citreus_37_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",Arthrobacter citreus,37.000000,TGE agar,1,Hours,CFU,9,9,3.108794,222.333323,2.718349,508.728088,506.009739
C037,"Aerobic Psychotropic._20_Cooked Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Psychotropic.,20.000000,Cooked Chicken Breast,1,Hours,CFU,9,9,8.359489,56.755902,1.404258,467.744457,466.340200
C036,"Aerobic Psychotropic._15_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Aerobic Psychotropic.,15.000000,Salted Chicken Breast,1,Hours,CFU,9,9,16.893155,111.390079,1.124831,343.942359,342.817527
C056,"Arthrobacter citreus_30_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",Arthrobacter citreus,30.000000,TGE agar,1,Hours,CFU,9,9,3.103340,169.751069,2.770525,207.924797,205.154272
C083,"Arthrobacter sp. 88_7_TGE agar_1_Roth, N.G. and Wheaton, R.B., 1962. Continuity of psychrophilic and mesophilic growth characteristics in the genus Arthrobacter. Journal of bacteriology, 83(3), pp.551-555.",Arthrobacter sp. 88,7.000000,TGE agar,1,Hours,CFU,9,9,1.593276,337.222808,2.745001,192.274755,189.529754
C175,"Pseudomonas sp._15_APT Broth_1_Stannard, C.J., Williams, A.P. and Gibbs, P.A., 1985. Temperature/growth relationships for psychrotrophic food-spoilage bacteria. Food Microbiology, 2(2), pp.115-122.",Pseudomonas sp.,15.000000,APT Broth,1,Hours,CFU,8,8,0.000000,90.974231,1.000000,1032728.147262,1032727.147262
C174,"Pseudomonas sp._12_APT Broth_1_Stannard, C.J., Williams, A.P. and Gibbs, P.A., 1985. Temperature/growth relationships for psychrotrophic food-spoilage bacteria. Food Microbiology, 2(2), pp.115-122.",Pseudomonas sp.,12.000000,APT Broth,1,Hours,CFU,8,8,-0.258645,93.294377,1.032728,760534.432500,760533.399771
C236,"Spoilage_12_C02 Beef Striploins_1_Gill, C.O. and DeLacy, K.M., 1991. Growth of Escherichia coli and Salmonella typhimurium on high-pH beef packed under vacuum or carbon dioxide. International journal of food microbiology, 13(1), pp.21-30.",Spoilage,12.000000,C02 Beef Striploins,1,Hours,N,8,8,-0.007306,8.995334,90.121145,12871.499854,12781.378709
C229,"Serratia marcescens_6_Pasteurised Full-fat Milk_1_Phillips, J.D. and Griffiths, M.W., 1987. The relation between temperature and growth of bacteria in dairy products. Food Microbiology, 4(2), pp.173-185.",Serratia marcescens,6.000000,Pasteurised Full-fat Milk,1,Hours,N,8,8,0.000000,12080.807647,1.000000,734.574310,733.574310
C188,"Pseudomonas spp._20_Salted Chicken Breast_1_Galarz, L.A., Fonseca, G.G. and Prentice, C., 2016. Predicting bacterial growth in raw, salted, and cooked chicken breast fillets during storage. Food Science and Technology International, 22(6), pp.461-474.",Pseudomonas spp.,20.000000,Salted Chicken Breast,1,Hours,CFU,8,8,12.269577,59.548198,1.484605,690.598550,689.113945
